Cores,Cache,Clock Speed,Price
8,16,3.6,529
8,12,3.7,399
6,9,3.7,229
4,8,4,173
6,12,4,425
6,12,3.7,359
6,12,3.2,303
6,9,4.3,257
6,9,4.1,202
6,9,4,182
4,8,4,168
4,6,3.6,117
4,8,1.9,409
4,8,1.8,409
6,9,2.2,395
4,6,1.7,297
4,6,1.6,297
18,24.75,2.6,1999
16,22,2.8,1699
14,19.25,3.1,1399
12,16.5,2.9,1189
10,13.75,3.3,999
8,11,3.6,599
6,8.25,3.5,389
4,8,4.3,350
4,8,4.2,350
4,8,3.6,312
4,8,2.9,312
4,6,4,242
4,6,3.8,243
4,6,3.5,224
4,6,2.8,224
4,6,3.4,202
4,6,2.7,202
4,6,3,182
4,6,2.4,187
2,4,4.2,179
2,4,4.1,157
2,4,4,147
2,4,3.5,147
2,3,3.9,117
2,3,3.4,117
2,3,3.9,117
2,3,3.4,117
2,3,3.7,93
2,3,3.6,82
2,3,3,75
2,3,3.5,64
2,3,2.9,64
2,2,3,52
2,2,2.9,42
2,2,2.7,42
4,8,3.1,568
4,8,2.9,378
4,8,2.9,378
4,6,2.8,378
2,4,2.5,415
2,4,2.8,393
2,4,2.4,415
2,4,2.7,393
2,4,1.3,393
4,6,2.8,250
4,6,2.5,250
2,4,2.3,304
2,3,2.6,281
2,4,2.2,304
2,3,2.5,281
2,4,1.2,281
2,4,1.2,281
2,3,3,225
2,3,2.4,281
2,3,1.1,281
2,4,1,281
4,2,1.1,161
2,2,2.3,161
2,2,1.6,161
2,2,1.5,161
4,2,1.1,107
2,2,2.2,107
2,2,1.8,107
4,8,2.8,300
4,8,3.4,298
4,6,3.5,189
4,6,3.3,189
4,6,2.7,180
4,6,3.2,180
4,6,2.5,178
4,6,2.7,178
4,6,2.2,178
4,6,3.3,334
4,8,3.1,307
4,8,2.5,330
4,8,3.4,200
4,8,3.5,420
6,15,3.3,690
6,15,3.5,1070
6,12,3.2,599
4,10,3.6,420
4,6,3.1,74
